# 1. Aia Ka ʻAlakeka Ma Kaipāpaʻu? = Is There An Alligator At Kaipāpaʻu?,,,,,,
1,Aia,Aia,ADV,VERB,VERB,
2,Ka,Ka,DET,DET,DET,
3,ʻAlakeka,ʻAlakeka,NOUN,PROPN,NOUN,AH!
4,Ma,Ma,ADP,ADP,ADP,
5,Kaipāpaʻu,Kaipāpaʻu,NOUN,PROPN,PROPN,
6,?,?,PUNCT,PUNCT,PUNCT,
,,,,,,
"# 2. Eia ka moʻolelo e pili ana i ka ʻalakeka o Kaipāpaʻu, ʻo ia hoʻi ke ahupuaʻa ma waena o Hauʻula a me Lāʻiemaloʻo. = There is a story about an alligator in Kaipāpaʻu, the land division between Hauʻula and Lāiemaloʻo.",,,,,,
1,Eia,Eia,VERB,VERB,VERB,
2,ka,ka,DET,DET,DET,
3,moʻolelo,moʻolelo,NOUN,NOUN,NOUN,
4,e,e,PART,PART,PART,
5,pili,pili,VERB,VERB,VERB,
6,ana,ana,PART,AUX,PART,AH!
7,i,i,ADP,ADP,ADP,
8,ka,ka,DET,DET,DET,
9,ʻalakeka,ʻalakeka,NOUN,PROPN,NOUN,AH!
10,o,o,ADP,ADP,ADP,
11,Kaipāpaʻu,Kaipāpaʻu,NOUN,PROPN,PROPN,
12,",",",",PUNCT,PUNCT,PUNCT,
13,ʻo,ʻo,PART,PART,PART,
14,ia,ia,PRON,PRON,PRON,
15,hoʻi,hoʻi,PART,PART,PART,
16,ke,ke,DET,DET,DET,
17,ahupuaʻa,ahupuaʻa,NOUN,NOUN,NOUN,
18,ma,ma,ADP,ADP,ADP,
19,waena,waena,NOUN,NOUN,NOUN,
20,o,o,ADP,ADP,ADP,
21,Hauʻula,Hauʻula,PROPN,PROPN,PROPN,
22,a,a,CCONJ,CCONJ,CCONJ,
23,me,me,CCONJ,CCONJ,CCONJ,
24,Lāʻiemaloʻo,Lāʻiemaloʻo,PROPN,PROPN,PROPN,
25,.,.,PUNCT,PUNCT,PUNCT,
,,,,,,
# 3. Ua ʻike ʻoe i ia mea? = Have you seen it?,,,,,,
1,Ua,Ua,AUX,AUX,PART,AH!
2,ʻike,ʻike,VERB,VERB,VERB,
3,ʻoe,ʻoe,PRON,PRON,PRON,
4,i,i,ADP,ADP,ADP,
5,ia,ia,DET,PRON,DET,AH!
6,mea,mea,NOUN,NOUN,NOUN,
7,?,?,PUNCT,PUNCT,PUNCT,
,,,,,,
# 4. He ʻalakeka kupaianaha ʻo ia. = It is a magical alligator.,,,,,,
1,He,He,DET,DET,DET,
2,ʻalakeka,ʻalakeka,NOUN,PROPN,NOUN,AH!
3,kupaianaha,kupaianaha,ADJ,ADJ,ADJ,
4,ʻo,ʻo,PART,PART,PART,
5,ia,ia,PRON,PRON,PRON,
6,.,.,PUNCT,PUNCT,PUNCT,
,,,,,,
# 5. Peʻe ʻo ia ma ke kai. = It hides itself in the ocean.,,,,,,
1,Peʻe,Peʻe,VERB,ADJ,ADJ,
2,ʻo,ʻo,PART,PART,PART,
3,ia,ia,PRON,PRON,PRON,
4,ma,ma,ADP,ADP,ADP,
5,ke,ke,DET,DET,DET,
6,kai,kai,NOUN,NOUN,NOUN,
7,.,.,PUNCT,PUNCT,PUNCT,
,,,,,,
# 6. ʻIke ʻoe i nā puʻu o kona kua? = Do you see the bumps of his back?,,,,,,
1,ʻIke,ʻIke,VERB,VERB,VERB,
2,ʻoe,ʻoe,PRON,PRON,PRON,
3,i,i,PART,PART,PART,
4,nā,nā,DET,DET,DET,
5,puʻu,puʻu,NOUN,NOUN,NOUN,
6,o,o,ADP,ADP,ADP,
7,kona,kona,DET,DET,DET,
8,kua,kua,NOUN,NOUN,NOUN,
9,?,?,PUNCT,PUNCT,PUNCT,
,,,,,,
# 7. ʻIke ʻoe i ka miomio o kona ihu? = Do you see his pointy nose?,,,,,,
1,ʻIke,ʻIke,VERB,VERB,VERB,
2,ʻoe,ʻoe,PRON,PRON,PRON,
3,i,i,PART,PART,PART,
4,ka,ka,DET,DET,DET,
5,miomio,miomio,NOUN,_,ADJ,AH!
6,o,o,ADP,ADP,ADP,
7,kona,kona,DET,DET,DET,
8,ihu,ihu,NOUN,NOUN,NOUN,
9,?,?,PUNCT,PUNCT,PUNCT,
,,,,,,
# 8. ʻIke ʻoe i kona kua laulā ā nui? = Do you see his large broad back?,,,,,,
1,ʻIke,ʻIke,VERB,VERB,VERB,
2,ʻoe,ʻoe,PRON,PRON,PRON,
3,i,i,PART,ADP,PART,AH!
4,kona,kona,DET,DET,DET,
5,kua,kua,NOUN,NOUN,NOUN,
6,laulā,laulā,ADJ,ADJ,ADJ,
7,ā,ā,PART,ADJ,PART,AH!
8,nui,nui,ADJ,ADJ,ADJ,
9,?,?,PUNCT,PUNCT,PUNCT,
,,,,,,
# 9. ʻIke ʻoe i kona huelo lōʻihi? = Do you see his long tai?,,,,,,
1,ʻIke,ʻIke,VERB,VERB,VERB,
2,ʻoe,ʻoe,PRON,PRON,PRON,
