# 1. He lumi hou ko ka hale = The new room of the house,,,,,,,
1,He,He,DET,DET,DET,,
2,lumi,lumi,NOUN,NOUN,NOUN,,
3,hou,hou,ADJ,ADJ,ADJ,,
4,ko,ko,ADP,ADJ,ADP,AH,
5,ka,ka,DET,DET,DET,,
6,hale,hale,NOUN,NOUN,NOUN,,
,,,,,,,
# 2. Ua nui ko Kimo hauʻoli i ka lohe ʻana e pili ana i ka pēpē hou. = Kimo was so happy when he heard about the new baby.,,,,,,,
1,Ua,Ua,PART,PART,PART,,
2,nui,nui,ADJ,ADV,VERB,AH,
3,ko,ko,ADP,DET,ADP,AH,
4,Kimo,Kimo,PROPN,PROPN,PROPN,,
5,hauʻoli,hauʻoli,NOUN,ADJ,NOUN,AH,
6,i,i,ADP,PART,ADP,AH,
7,ka,ka,DET,DET,DET,,
8,lohe,lohe,VERB,VERB,VERB,,
9,ʻana,ʻana,AUX,AUX,PART,AH,
10,e,e,ADP,PART,AUX,AH,
11,pili,pili,ADP,VERB,VERB,,
12,ana,ana,ADP,AUX,PART,AH,
13,i,i,ADP,PART,PART,,
14,ka,ka,DET,DET,DET,,
15,pēpē,pēpē,NOUN,NOUN,NOUN,,
16,hou,hou,ADJ,ADJ,ADJ,,
17,.,.,PUNCT,PUNCT,PUNCT,,
,,,,,,,
"# 3. ʻO Kimo ke keiki hoʻokahi o ka ʻohana Komohale, a kokoke e piha ʻelima makahiki iā ia i kēia wā. = Kimo is the only child in the Komohale family, and he is almost five years old now.",,,,,,,
1,ʻO,ʻO,PART,PART,PART,,
2,Kimo,Kimo,PROPN,PROPN,PRON,AH,
3,ke,ke,DET,DET,DET,,
4,keiki,keiki,NOUN,NOUN,NOUN,,
5,hoʻokahi,hoʻokahi,ADJ,ADJ,NUM,AH,
6,o,o,ADP,ADP,ADP,,
7,ka,ka,DET,DET,DET,,
8,ʻohana,ʻohana,NOUN,NOUN,NOUN,,
9,Komohale,Komohale,PROPN,PROPN,NOUN,AH,
10,",",",",PUNCT,PUNCT,PUNCT,,
11,a,a,CCONJ,CCONJ,CCONJ,,
12,kokoke,kokoke,ADV,ADV,ADV,,
13,e,e,AUX,PART,PART,,
14,piha,piha,ADJ,VERB,VERB,,
15,ʻelima,ʻelima,NUM,NUM,NUM,,
16,makahiki,makahiki,NOUN,NOUN,NOUN,,
17,iā,iā,PART,PART,ADP,AH,
18,ia,ia,PRON,PROPN,PRON,AH,
19,i,i,ADP,PART,ADP,AH,
20,kēia,kēia,DET,DET,DET,,
21,wā,wā,NOUN,NOUN,NOUN,,
22,.,.,PUNCT,PUNCT,PUNCT,,
,,,,,,,
"# 4. Akā naʻe, i nehinei nō i haʻi mai ai kona māmā a me kona pāpā iā ia e loaʻa ana he pēpē hou ma ka ʻohana. = But just yesterday his mother and father told him that their family is going to have a new baby.",,,,,,,
1,Akā,Akā,CCONJ,CCONJ,CCONJ,,
2,naʻe,naʻe,CCONJ,ADV,CCONJ,AH,
3,",",",",PUNCT,PUNCT,PUNCT,,
4,i,i,ADP,ADP,ADP,,
5,nehinei,nehinei,NOUN,NOUN,NOUN,,
6,nō,nō,ADV,PART,PART,,
7,i,i,AUX,AUX,ADP,AH,
8,haʻi,haʻi,VERB,VERB,VERB,,
9,mai,mai,ADV,PART,PART,,
10,ai,ai,AUX,SCONJ,SCONJ,,
11,kona,kona,DET,DET,PRON,AH,
12,māmā,māmā,NOUN,NOUN,NOUN,,
13,a,a,CCONJ,CCONJ,CCONJ,,
14,me,me,CCONJ,ADP,ADP,,
15,kona,kona,DET,DET,PRON,AH,
16,pāpā,pāpā,NOUN,NOUN,NOUN,,
17,iā,iā,PART,ADP,ADP,,
18,ia,ia,PRON,PROPN,PRON,AH,
19,e,e,AUX,AUX,PART,AH,
20,loaʻa,loaʻa,VERB,VERB,VERB,,
21,ana,ana,AUX,PART,PART,,
22,he,he,DET,DET,DET,,
23,pēpē,pēpē,NOUN,NOUN,NOUN,,
24,hou,hou,ADJ,ADJ,ADJ,,
25,ma,ma,ADP,ADP,ADP,,
26,ka,ka,DET,DET,DET,,
27,ʻohana,ʻohana,NOUN,NOUN,NOUN,,
28,.,.,PUNCT,PUNCT,PUNCT,,
,,,,,,,
"# 5. Hoʻokahi wale nō naʻe pilikia o ka ʻohana Komohale. = The Komohale family, however, has one problem.",,,,,,,
1,Hoʻokahi,Hoʻokahi,NUM,NUM,NUM,,
2,wale,wale,ADV,PART,PART,,
3,nō,nō,ADV,PART,PART,,
4,naʻe,naʻe,CCONJ,ADV,CCONJ,AH,
5,pilikia,pilikia,NOUN,NOUN,NOUN,,
6,o,o,ADP,ADP,ADP,,
7,ka,ka,DET,DET,DET,,
8,ʻohana,ʻohana,NOUN,NOUN,NOUN,,
9,Komohale,Komohale,NOUN,PROPN,NOUN,AH,
10,.,.,PUNCT,PUNCT,PUNCT,,
,,,,,,,// Christian Start
"# 6. Ua liʻiliʻi loa ko lākou hale, a makemake lākou e pākuʻi i lumi moe hou no ka pēpē. = Their house is very small and they want to add on a new bedroom for the baby.",,,,,,,
1,Ua,Ua,AUX,PART,AUX,AH,
2,liʻiliʻi,liʻiliʻi,ADJ,VERB,ADJ,AH,
3,loa,loa,ADV,PART,PART,,
4,ko,ko,ADP,ADP,DET,AH,
5,lākou,lākou,PRON,PROPN,DET,AH,
6,hale,hale,NOUN,NOUN,NOUN,,
7,",",",",PUNCT,PUNCT,PUNCT,,
8,a,a,CCONJ,CCONJ,CCONJ,,
9,makemake,makemake,VERB,VERB,VERB,,
10,lākou,lākou,PRON,PRON,NOUN,AH,
11,e,e,AUX,PART,AUX,AH,
12,pākuʻi,pākuʻi,VERB,VERB,VERB,,
13,i,i,PART,ADP,PART,AH,
14,lumi,lumi,NOUN,NOUN,NOUN,,
15,moe,moe,NOUN,NOUN,VERB,AH,
16,hou,hou,ADJ,ADJ,ADJ,,
17,no,no,ADP,ADP,ADV,AH,
18,ka,ka,DET,DET,DET,,
19,pēpē,pēpē,NOUN,NOUN,NOUN,,
20,.,.,PUNCT,PUNCT,PUNCT,,
,,,,,,,
"# 7. ""E Pāpā, na wai e kūkulu ana i ka lumi moe hou?"" i nīnau ai ʻo Kimo. = ""Papa, who is going to build the new bedroom?"" asked Kimo.",,,,,,,
1,	,_,X,,,,
2,E,E,PART,AUX,AUX,,
3,Pāpā,Pāpā,NOUN,NOUN,NOUN,,
4,",",",",PUNCT,PUNCT,PUNCT,,
