# I kekahi lā me Makana = A day with Makana,,,,,,,
1,I,I,PART,PART,,,
2,kekahi,kekahi,ADJ,ADJ,,DET?,
3,lā,lā,NOUN,NOUN,,,
4,me,me,ADP,ADP,,,
5,Makana,Makana,PROPN,PROPN,,,
,,,,,,,
# Mākaukau no ke kula = Ready for school,,,,,,,
1,Mākaukau,Mākaukau,ADJ,ADJ,,,
2,no,no,ADP,ADP,,,
3,ke,ke,DET,DET,,,
4,kula,kula,NOUN,NOUN,,,
,,,,,,,
# ‘Ono au i ka ‘aina kakahiaka. = I like my breakfast.,,,,,,,
1,ʻOno,ʻOno,VERB,VERB,,savor,
2,au,au,PRON,PRON,,I,
3,i,i,PART,PART,,,
4,ka,ka,DET,DET,,the,
5,ʻaina,ʻaina,NOUN,NOUN,,meal,
6,kakahiaka,kakahiaka,NOUN,NOUN,,morning,
7,.,.,PUNCT,PUNCT,,,
,,,,,,,
"# Mmmm, ke kai ‘āpala––ka‘u punahele! = Mmmm, applesauce--my favorite!",,,,,,,
1,Mmmm,Mmmm,INTJ,INTJ,,,
2,",",",",PUNCT,PUNCT,,,
3,ke,ke,DET,DET,,the,
4,kai,kai,NOUN,NOUN,,pie,
5,ʻāpala,ʻāpala,NOUN,NOUN,,apple,
6,–,–,PUNCT,PUNCT,,,
7,–,–,PUNCT,PUNCT,,,
8,kaʻu,kaʻu,ADJ,ADJ,,DET?,"should be det -nolan, ""Determiners introduce nouns and provide information about their definiteness (e.g., ""the,"" ""a/an""), quantity (e.g., ""some,"" ""many""), or possession (e.g., ""my,"" ""his""). """
9,punahele,punahele,ADJ,ADJ,,N?,
10,!,!,PUNCT,PUNCT,,,
,,,,,,,
# Ho‘omaka ka papa me Kumu Elina. = Class begins with Miss Erin.,,,,,,,
1,Hoʻomaka,Hoʻomaka,VERB,VERB,,,
2,ka,ka,DET,DET,,,
3,papa,papa,NOUN,NOUN,,,
4,me,me,ADP,ADP,,,
5,Kumu,Kumu,NOUN,NOUN,,,
6,Elina,Elina,PROPN,PROPN,,,
7,.,.,PUNCT,PUNCT,,,
,,,,,,,
# ‘Ike ‘o Makana i ke kākau ‘ana. = Makana knows how to write.,,,,,,,
1,ʻIke,ʻIke,VERB,VERB,,,
2,ʻo,ʻo,PART,PART,,"""through"" ??",
3,Makana,Makana,PROPN,PROPN,,,
4,i,i,PART,PART,,,
5,ke,ke,DET,DET,,,
6,kākau,kākau,VERB,VERB,,,
7,ʻana,ʻana,ADV,NOUN,AH!,jerand,
8,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Makemake ‘o Makana i ka huapalapala Mu. = Makana likes the letter M.,,,,,,,
1,Makemake,Makemake,VERB,VERB,,,
2,ʻo,ʻo,PART,PART,,,
3,Makana,Makana,PROPN,PART,AH!,,
4,i,i,PART,PART,,,
5,ka,ka,DET,PART,AH!,,
6,huapalapala,huapalapala,NOUN,NOUN,,,
7,Mu,Mu,NOUN,NOUN,,is a letter a noun?,
8,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Wā makemakika = Math time,,,,,,,
1,Wā,Wā,NOUN,NOUN,,,
2,makemakika,makemakika,NOUN,NOUN,,,
,,,,,,,
# E helu kākou i mau hua kukui. = Let's count some kukui nuts.,,,,,,"i cant find the verb, dictionary and translate return random results",
1,E,E,PART,PRON,AH!,,
2,helu,helu,VERB,VERB,,group,
3,kākou,kākou,PRON,PRON,,"pronoun, ""all""",
4,i,i,PART,PART,,,
5,mau,mau,PART,PART,,,
6,hua,hua,NOUN,NOUN,,,
7,kukui,kukui,NOUN,PROPN,AH!,,
8,.,.,PUNCT,PUNCT,,,
,,,,,,,
"# ‘Ekahi, ‘elua, ‘ekolu, ‘ehā, ‘elima mau hua kukui = One, two, three, four, five kukui nuts",,,,,,,
1,ʻEkahi,ʻEkahi,NUM,NUM,,,
2,",",",",PUNCT,PUNCT,,,
3,ʻelua,ʻelua,NUM,NUM,,,
4,",",",",PUNCT,PUNCT,,,
5,ʻekolu,ʻekolu,NUM,NUM,,,
6,",",",",PUNCT,PUNCT,,,
7,ʻehā,ʻehā,NUM,NUM,,,
8,",",",",PUNCT,PUNCT,,,
9,ʻelima,ʻelima,NUM,NUM,,,
10,mau,mau,PART,PART,,,
11,hua,hua,NOUN,NOUN,,,
12,kukui,kukui,NOUN,PROPN,AH!,,
,,,,,,,
"# ‘Eono, ‘ehiku, ‘ewalu kukui = Six, seven, eight kukui",,,,,,,
1,ʻEono,ʻEono,NUM,NUM,,,
2,",",",",PUNCT,PUNCT,,,
3,ʻehiku,ʻehiku,NUM,NUM,,,
4,",",",",PUNCT,PUNCT,,,
5,ʻewalu,ʻewalu,NUM,NUM,,,
6,kukui,kukui,NOUN,NOUN,,,
,,,,,,,
# Wā pā‘ani = Recess time,,,,,,,
1,Wā,Wā,NOUN,NOUN,,Period of Time,
2,pāʻani,pāʻani,NOUN,VERB,AH!,Play,
,,,,,,,
# E nānā mai ia‘u e pi‘i i luna. = Look at me climb.,,,,,,,
1,E,E,PART,PART,,,
2,nānā,nānā,VERB,VERB,,you,
3,mai,mai,PART,ADJ,AH!,look at,
4,iaʻu,au,NOUN,ADJ,AH!,me,
5,e,e,PART,PART,,,
6,piʻi,piʻi,VERB,VERB,,to climb,
7,i,i,ADP,PART,AH!,,
8,luna,luna,ADV,ADJ,AH!,up,
9,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Hiki ‘ole iā ‘oe ke ki‘i mai ia‘u. = You can't catch me.,,,,,,,
1,Hiki,Hiki,VERB,VERB,,can't do ,
2,ʻole,ʻole,ADV,PART,AH!,not,
3,iā,iā,PRON,ADP,AH!,he/she ,
4,ʻoe,ʻoe,PRON,PRON,,you,
5,ke,ke,DET,DET,,the ,
6,kiʻi,kiʻi,VERB,VERB,,"to fetch, to try and ",
7,mai,mai,PRON,VERB,AH!,an implied 'you',
8,iaʻu,au,PRON,PRON,,"i, me ",
9,.,.,PUNCT,PUNCT,,,
,,,,,,,
# ‘A‘ole hiki ho‘i iā ‘oe ke ki‘i mai ia‘u. = You still can't catch me.,,,,,,,
1,ʻAʻole,ʻAʻole,INTJ,PART,AH!,"no, not never",
2,hiki,hiki,VERB,VERB,,can,
3,hoʻi,hoʻi,PART,PART,,"particle, expressing doubt",
4,iā,iā,PRON,ADP,AH!,he/she,
5,ʻoe,ʻoe,PRON,PRON,,you ,
6,ke,ke,DET,DET,,the,
7,kiʻi,kiʻi,VERB,VERB,,"to fetch, to try and ",
8,mai,mai,PRON,VERB,AH!,an implied 'you',
9,iaʻu,aʻu,PRON,PROPN,AH!,"i, me ",
10,.,.,PUNCT,PUNCT,,,
,,,,,,,
# A‘o ‘o Makana ma ka lolo uila. = Makana knows how to learn with the computer.,,,,,,,
1,Aʻo,Aʻo,VERB,VERB,,"teacing, learning",
2,ʻo,ʻo,PART,PART,,marks the subject ,
3,Makana,Makana,PROPN,NOUN,AH!,name,
4,ma,ma,ADP,PROPN,AH!,"in, on ",
5,ka,ka,NOUN,DET,AH!,the,
6,lolo,lolo,NOUN,NOUN,,brain,
7,uila,uila,ADJ,NOUN,AH!,electricity ,
8,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Kaomi aku i ka ‘iole. = Click on the mouse.,,,,,,,
1,Kaomi,Kaomi,VERB,VERB,,squeeze,
2,aku,aku,PART,PART,,away ?,
3,i,i,PART,PART,,"in, on",
4,ka,ka,ADJ,DET,AH!,atricle,
5,ʻiole,ʻiole,NOUN,NOUN,,mouse,
6,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Wā palaka = Block time,,,,,,,
1,Wā,Wā,NOUN,NOUN,,,
2,palaka,palaka,NOUN,ADJ,AH!,,
,,,,,,,
# ‘Ane‘ane ka ‘aina awakea. = It is almost lunch time.,,,,,,,
1,ʻAneʻane,ʻAneʻane,ADV,ADV,,almost ,
2,ka,ka,DET,DET,,it is ,
3,ʻaina,ʻaina,NOUN,NOUN,,meal,
4,awakea,awakea,NOUN,NOUN,,noon,
5,.,.,PUNCT,PUNCT,,,
,,,,,,,
"# Noi mai ‘o Makana, “Aia he poi no ka ‘aina awakea?” = Makana asks, ""Is there any poi for lunch?""""",,,,,,,
1,Noi,Noi,ADV,ADV,,to ask for ,
2,mai,mai,ADP,ADP,,from,
3,ʻo,ʻo,PART,PART,,of makana,
4,Makana,Makana,PROPN,PROPN,,makana,
5,",",",",PUNCT,PUNCT,,,
6,“,“,PUNCT,PUNCT,,,
7,Aia,Aia,PRON,DET,AH!,there,
8,he,he,DET,DET,,"ind article, a, and ",
9,poi,poi,PROPN,NOUN,AH!,poi,
10,no,no,ADP,DET,AH!,"prep, for, of, because ",
11,ka,ka,DET,PART,AH!,the one who __,
12,ʻaina,ʻaina,NOUN,NOUN,,meal,
13,awakea,awakea,NOUN,NOUN,,"noon, lunch?",
14,?,?,PUNCT,PUNCT,,,
15,”,”,PUNCT,PUNCT,,,
,,,,,,,
"# Ma hope o ka ‘aina ‘awakea, pā‘ani ‘o Makana me nā nane ʻāpana. = After lunch, Makana plays with puzzles.",,,,,,,
1,Ma,Ma,DET,ADP,AH!,"indefinitve, prep at, in on",
2,hope,hope,DET,ADP,AH!,after ,
3,o,o,PRON,PART,AH!,"prep, possessive, he ",
4,ka,ka,DET,PART,AH!,the,
5,ʻaina,ʻaina,NOUN,NOUN,,meal,
6,ʻawakea,ʻawakea,NOUN,NOUN,,"noon, lunch",
7,",",",",PUNCT,PUNCT,,,
8,pāʻani,pāʻani,VERB,VERB,,play,
9,ʻo,ʻo,PRON,PART,AH!,marks the begining of a name ,
10,Makana,Makana,PROPN,PROPN,,name,
11,me,me,CCONJ,ADP,AH!,with ,
12,nā,nā,VERB,DET,AH!,"to calm or pasify, maybe quietly in this context ",
13,nane,nane,NOUN,NOUN,,puzzle,
14,ʻāpana,ʻāpana,NOUN,NOUN,,piece,
15,.,.,PUNCT,PUNCT,,,
,,,,,,,
# E nānā mai i ka‘u honu ‘u‘uku. = Look at my little honu.,,,,,,// Ken - start,
1,E,E,PART,PART,,,
2,nānā,nānā,VERB,VERB,,// or noun,
3,mai,mai,VERB,ADP,AH!,// directional particle,
4,i,i,PART,PART,,,
5,kaʻu,kaʻu,PRON,ADJ,AH!,,
6,honu,honu,NOUN,NOUN,,,
7,ʻuʻuku,ʻuʻuku,ADJ,ADJ,,,
